date        spec  algo    leaves  root
2026-07-31  v2  sha256  5981  1094104211146f917767d9c6ebf541cc6b6b761d4d421d065ca260c904a5c91e
2026-08-01  v2  sha256  5999  48e5e49a0ce74a338d01b01be0f1f2d08ea2b94f05820d86bfc7e905ce02e8cc
2026-08-02  v2  sha256  6154  9d702d539578cee91119cf1420c82b22cf528aa4a45245679d91ec27a3fa362a
2026-08-03  v2  sha256  6274  5e991985c15db86632b04ade2c9b5e5e99bc043b96856d34d6dd6992e4b442f5
2026-08-04  v2  sha256  6835  68cdb8a6c2e92a0a22370fcc435a8aaca1be00e4cb767fd1f3fd5aefa0145af3
2026-08-05  v2  sha256  6993  8dc98d7527d44ed43fbf523b8fbb087e6d7a64bd88d8c74442ce0cdde86009db
2026-08-06  v2  sha256  7050  5e921eb278b7b973b7b756fc8a30a25ddf5dabf1ca386ebef0bb604d45b96a13
2026-08-07  v2  sha256  7082  e469606a460a27013b0a4ed3510bb10b4ea3a9d60f80b58e84773765715b14e2
2026-08-08  v2  sha256  7130  f6b8194a81540416589c4be9c2c5d554f84de3c9a1a96386a1332c2aa06278cd
2026-08-09  v2  sha256  7181  be39673ad9e9c8e181a095efdc58c1d258d54b0239c30b20fcced16435efbf11
2026-08-10  v2  sha256  7231  54e325c5e3e6a001fc84f4a213aedb92ede03d32249660f2e8115419dbd4ad1e
2026-08-11  v2  sha256  7308  ea738bfc6826e0e27151098b93356f98197e7e9ff100880e49226f5e6efc7e66
2026-08-12  v2  sha256  7353  c65f96132827a30afa9d593caba857e72869c1296264f0d09999cbbbf61c393e
2026-08-13  v2  sha256  7375  578e20b26f8f7c2609e96daa271f7670c14ee93889d633aebf28d123f929dfbc
2026-08-14  v2  sha256  7390  f8a61c107910923bf4129ee2a7dee39fcffb7b279c4687d30a6d2632a356d42c
2026-08-15  v2  sha256  7406  dcb7ca4952bb3118c68d6d1726cf4b20f95616c619f709d0bbe6d4f9882c7794
2026-08-16  v2  sha256  7665  aab37cfb11750b770bc003dd4cad66ab183320c1bdc3bb2b0447b7415400fb0f
2026-08-17  v2  sha256  7803  4649db00486a34bdb3f1d2fdea547e6e0d03964f19544bf9e82a9b2afb04856b
2026-08-18  v2  sha256  8010  779097cc42730d62d049dca4ac76e36046203f6f1323d6ecb1f2e75e967ae0ac
2026-08-19  v2  sha256  8183  024eaac84de1cf14c8fd20f755976de51a5f7d4e95b9d6c347560b94bcded0e0
2026-08-20  v2  sha256  8383  3f49d49cc9a558291a17b255883e6de4ea147853aaab35a32fd6f348f3463a6a
2026-08-21  v2  sha256  8598  8ec365c5fe2de32de110cf3c5b30e9e5412d227fc046c7538e1f975976503985
2026-08-22  v2  sha256  8745  c0cff08763aa38cb5216fb57d33f687e396a1d9b51809cf43cce4e3c1527b0a5
2026-08-23  v2  sha256  8875  f0c7bd1c62e42fe9909b8dd5a7a9afaa8240f691abf64b33fd9be712e6ff2c68
2026-08-24  v2  sha256  8993  af1a0e564ac2c58ce846a5f6c78111316011d3e9425388ba0a602c02246c0317
2026-08-25  v2  sha256  9143  b5dcbcec708b3e5ae523161582174a04cc64aaa9635e1175acde737b1ef95fda
2026-08-26  v2  sha256  9352  638f71ae393c7b3b3be7ced39fa3f7d72fd9ac3d7ae845b5d6ec3eb420728cc7
2026-08-27  v2  sha256  9538  28c8da03adc91fd4c015915c4809fad99b8e7c263e08307d47c7f35927c42d2f
2026-08-28  v2  sha256  9745  98a12c390542e883682ec6ed7a55b3623d4d119b4456a056b7fd21d676cd8eac
2026-08-29  v2  sha256  9921  78392d8773c8974c4b63cce67e0a1998532e4e691ab628984fa439c8be5f18c8
2026-08-30  v2  sha256  10073  6fbf2909bc8b3e6000639b4fc5e3818d20eed55623c179f68a76fcb64050a2d2
2026-08-31  v2  sha256  10228  ee203ec3ac7099e4c0156837671260882fe0929250442fb862261f3f3936b15f
2026-09-01  v2  sha256  10402  3252982fb6a93f177dc54bbddf233b14517afb9023560db9a8c377f7aebad4bd
2026-09-02  v2  sha256  10611  a5c884de1c09c4a1035d341d3d93db67f06db75ee88702fc0f4e630efdac9353
2026-09-03  v2  sha256  10812  ec79226d5e9fcfb7b639df39b86eba83b21e7286482ec546975badefa3156ff8
2026-09-04  v2  sha256  11168  4a58c4075ff7a66d5ad2a9984ac1cd39aeeb501fc692adc2f2ae8f8d18e96456
2026-09-05  v2  sha256  11222  eaa169f8107f25c22095d9e97137c1cba245e01df5df8d677fd0e65a80d54c84
